midcyc_datetime,stationary_outline_area (m^2),stationary_outline_dh (m),stationary_outline_region_dh (m),stationary_outline_dh_corr (m),stationary_outline_dV_corr (m^3)
2019-05-18 05:15:00,412020758,0.01,-0.03,0.04,16480830
2019-08-17 12:45:00,412020758,0.14,0.13,0.01,4120208
2019-11-16 20:15:00,412020758,-0.01,-0.04,0.03,12360623
2020-02-16 03:45:00,412020758,-0.04,-0.03,-0.01,-4120208
2020-05-17 11:15:00,412020758,0.05,0.03,0.02,8240415
2020-08-16 18:45:00,412020758,-0.0,-0.03,0.03,12360623
2020-11-16 02:15:00,412020758,0.05,0.03,0.02,8240415
2021-02-15 09:45:00,412020758,-0.03,-0.04,0.01,4120208
2021-05-17 17:15:00,412020758,0.03,0.01,0.02,8240415
2021-08-17 00:45:00,412020758,0.07,0.07,0.0,0
2021-11-16 08:15:00,412020758,0.02,0.01,0.01,4120208
2022-02-15 15:45:00,412020758,-0.1,-0.08,-0.02,-8240415
2022-05-17 23:15:00,412020758,0.02,0.01,0.01,4120208
2022-08-17 06:45:00,412020758,-0.0,0.01,-0.01,-4120208
2022-11-16 14:15:00,412020758,0.01,-0.01,0.02,8240415
2023-02-15 21:45:00,412020758,-0.04,-0.03,-0.01,-4120208
2023-05-18 05:15:00,412020758,-0.02,-0.02,0.0,0
2023-08-17 12:45:00,412020758,0.11,0.11,0.0,0
2023-11-16 20:15:00,412020758,0.13,0.13,0.0,0
2024-02-16 03:45:00,412020758,0.08,0.08,0.0,0
2024-05-17 11:15:00,412020758,-0.01,0.0,-0.01,-4120208
2024-08-16 18:45:00,412020758,0.09,0.08,0.01,4120208
2024-11-16 02:15:00,412020758,-0.08,-0.05,-0.03,-12360623
